airTerminalUnit,Equipment in air distribution systems which terminate at the space,equip,A
cav,Constant air volume terminal unit,equip,A
vav,Variable air volume terminal unit,equip,A
assembly,A collection of manufactured parts or subassemblies,equip,A
ates,Aquifer Thermal Energy Storage system,equip,A
battery,Equipment used to store electric energy,equip,A
boiler,Equipment to generate hot water or steam for heating,equip,A
hot-water-boiler,Boiler which outputs hot water,equip,A
steam-boiler,Boiler which outputs steam,equip,A
cable,An assembly of one or more insulated conductors,equip,A
chiller,Equipment to remove heat from a liquid,equip,A
circuit,Electrical circuit and its associated components such as breakers,equip,A
conduit,"Duct, pipe, or cable to convey a substance or phenomenon",equip,A
duct,Conduit used to convey air for HVAC,equip,A
pipe,Conduit used to convey a fluid,equip,A
wire,Cabling used to convey electricity or data,equip,A
coolingTower,Equipment to transfer waste heat into the atmosphere,equip,A
evse-equip,Equipment that supports the delivery of electricity to charging inlets located on EVs,equip,A
evse-assembly,Equipment that delivers electricity via EVSE ports to charging inlets located on EVs,equip,A
evse-cable,Models the electrical connection between an evse-port and an EV charging inlet,equip,A
evse-port,An EVSE port delivers electricity to a single EV charging inlet at a time,equip,A
flowInverter,System to change direction of substance flow,equip,A
fumeHood,Ventilation equipment to limit exposure to hazardous fumes,equip,A
heatExchanger,Equipment to transfer heat between two working fluids,equip,A
coil,Heat exchanger used to heat or cool air,equip,A
coolingCoil,Coil used to cool air,equip,A
heatingCoil,Coil used to heat air,equip,A
humidifier-equip,Equipment which adds moisture to air to increase humidity,equip,A
luminaire,Light fixture using electricity to provide illumination,equip,A
meter,Equipment to meter a substance or phenomenon,equip,A
elec-meter,Electricity meter,equip,A
ac-elec-meter,AC Electricity meter,equip,A
dc-elec-meter,DC Electricity meter,equip,A
evse-port,An EVSE port delivers electricity to a single EV charging inlet at a time,equip,A
flow-meter,Meter to measure flow rate and total volume of fluid,equip,A
motor,Equipment that converts electrical energy into mechanical energy,equip,A
fan-motor,Motor used with a fan to create air flow,equip,A
pump-motor,Motor used with a pump to move fluid,equip,A
panel,Enclosure for electrical and control equipment,equip,A
controls-panel,Panel housing controllers and networking gear,equip,A
elec-panel,"Physical housing for electrical circuits, fuses, and breakers",equip,A
plant,Central plant used to generate a substance for a process,equip,A
chilled-water-plant,Plant used to generate chilled water for cooling,equip,A
hot-water-plant,Plant used to generate hot water for heating,equip,A
steam-plant,Plant used to generate steam for heating,equip,A
vrf-refrig-plant,Group of outdoor units in a VRF system,equip,A
rack,Enclosure or chassis used to mount computer and networking gear,equip,A
radiantEquip,HVAC equipment that conditions a space without forced air,equip,A
chilledBeam,Conditions a space using a heat exchanger integrated into the ceiling,equip,A
radiantFloor,Heats a space using pipes or cables embedded beneath floor,equip,A
radiator,Heats a space using exposed pipes or coils,equip,A
tank,Tank used to store a substance for temporary holding,equip,A
thermostat,Senses and controls temperature of space in HVAC system,equip,A
ups,Uninterruptible power supply,equip,A
verticalTransport,Equipment to move humans and materials,equip,A
elevator,Enclosure used to move people between floors,equip,A
escalator,Moving staircase used to move people between floors,equip,A
movingWalkway,Conveyor to move people across a horizontal or inclined plane,equip,A
vrf-equip,Equipment used in VRF systems,equip,A
branchSelector,Branch selector used for heat recovery in a VRF system,equip,A
vrf-indoorUnit,Indoor unit in a VRF system,equip,A
vrf-indoorUnit-fcu,Indoor unit fan coil unit in a VRF system,equip,A
vrf-outdoorUnit,Outdoor unit with one or more compressors in a VRF system,equip,A
well,A well is a source of groundwater and potentially thermal energy,equip,A
computer,General purpose computer,device,A
laptop,Portable laptop computer,device,A
server-computer,General purpose computer used as a server,device,A
controller,Microprocessor based device used in a control system,device,A
networking-device,Microprocessor device used to establish networks,device,A
networking-router,Networking device used to route data between different networks,device,A
networking-switch,Networking device used to connect devices on the same network,device,A
phone,Telephone used for voice telecommunication,device,A
mobile-phone,Cellular phone providing telecommunication over radio links,device,A
tablet,Mobile device with touch screen for user input,device,A
Abidjan,Abidjan,timezone,A
Accra,Accra,timezone,A
Adak,Adak,timezone,A
Adelaide,Adelaide,timezone,A
Algiers,Algiers,timezone,A
Almaty,Almaty,timezone,A
Amman,Amman,timezone,A
Amsterdam,Amsterdam,timezone,A
Anadyr,Anadyr,timezone,A
